Season_year,Season_div,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS,Date
2020-2021,Regular,BOS,L,107,111,38,12-21,12,21,57.1,7-14,7,14,50,7-7,7,7,100,11,8,0,3,0,3,38,2/2/2021
2020-2021,Regular,DET,W,118,91,30,11-17,11,17,64.7,6-8,6,8,75,0-0,0,0,0,5,7,0,2,1,6,28,30/1/2021
2020-2021,Regular,PHX,L,93,114,31,10-20,10,20,50,5-10,5,10,50,2-2,2,2,100,4,4,0,0,2,4,27,28/1/2021
2020-2021,Regular,MIN,W,123,111,33,6-17,6,17,35.3,4-11,4,11,36.4,0-0,0,0,0,6,8,0,0,2,2,16,27/1/2021
2020-2021,Regular,MIN,W,130,108,34,11-21,11,21,52.4,7-12,7,12,58.3,7-8,7,8,87.5,4,3,0,3,2,3,36,25/1/2021
2020-2021,Regular,UTA,L,108,127,27,9-18,9,18,50,5-10,5,10,50,1-2,1,2,50,7,7,0,0,2,1,24,23/1/2021
2020-2021,Regular,NYK,L,104,119,35,9-19,9,19,47.4,5-14,5,14,35.7,7-8,7,8,87.5,3,4,0,2,3,4,30,21/1/2021
2020-2021,Regular,SAS,W,121,99,31,10-17,10,17,58.8,4-8,4,8,50,2-2,2,2,100,11,7,0,1,2,4,26,20/1/2021
2020-2021,Regular,LAL,W,115,113,36,8-22,8,22,36.4,3-12,3,12,25,7-7,7,7,100,1,7,0,1,2,4,26,18/1/2021
2020-2021,Regular,DEN,L,104,114,37,14-23,14,23,60.9,5-11,5,11,45.5,2-2,2,2,100,11,4,0,2,2,7,35,14/1/2021
2020-2021,Regular,IND,L,95,104,36,7-17,7,17,41.2,3-8,3,8,37.5,3-5,3,5,60,4,3,0,2,3,2,20,12/1/2021
2020-2021,Regular,TOR,W,106,105,38,2-16,2,16,12.5,1-10,1,10,10,6-6,6,6,100,9,6,0,0,3,5,11,10/1/2021
2020-2021,Regular,LAC,W,115,105,36,13-24,13,24,54.2,9-14,9,14,64.3,3-3,3,3,100,2,11,0,3,3,2,38,8/1/2021
2020-2021,Regular,LAC,L,101,108,35,5-17,5,17,29.4,1-6,1,6,16.7,2-4,2,4,50,4,5,0,1,3,0,13,6/1/2021
2020-2021,Regular,SAC,W,137,106,31,9-18,9,18,50,5-12,5,12,41.7,7-7,7,7,100,9,8,0,0,3,2,30,4/1/2021
2020-2021,Regular,POR,W,137,122,36,18-31,18,31,58.1,8-16,8,16,50,18-19,18,19,94.7,5,4,0,0,0,5,62,3/1/2021
2020-2021,Regular,POR,L,98,123,34,9-20,9,20,45,4-12,4,12,33.3,4-4,4,4,100,8,5,0,0,1,1,26,1/1/2021
2020-2021,Regular,DET,W,116,106,35,9-17,9,17,52.9,5-9,5,9,55.6,8-8,8,8,100,5,6,0,2,5,8,31,29/12/2020
2020-2021,Regular,CHI,W,129,128,36,11-25,11,25,44,5-15,5,15,33.3,9-9,9,9,100,2,6,2,2,1,4,36,27/12/2020
2020-2021,Regular,MIL,L,99,138,29,6-17,6,17,35.3,2-10,2,10,20,5-5,5,5,100,4,6,0,1,2,2,19,25/12/2020
2020-2021,Regular,BKN,L,99,125,30,7-21,7,21,33.3,2-10,2,10,20,4-4,4,4,100,4,10,0,2,1,3,20,22/12/2020
2020-2021,Regular,MEM,L,112,117,47,13-28,13,28,46.4,6-15,6,15,40,7-7,7,7,100,4,5,0,3,5,7,39,21/5/
2020-2021,Regular,LAL,L,100,103,41,12-23,12,23,52.2,6-9,6,9,66.7,7-8,7,8,87.5,7,3,0,0,2,6,37,19/5/
2020-2021,Regular,SAC,W,113,105,29,9-23,9,23,39.1,6-13,6,13,46.2,5-5,5,5,100,6,3,0,2,2,1,29,17/12/2020
2020-2021,Regular,SAC,L,113,114,28,11-21,11,21,52.4,5-13,5,13,38.5,2-3,2,3,66.7,4,4,1,3,0,4,29,15/12/2020
2020-2021,Regular,DEN,W,107,105,21,3-10,3,10,30,2-7,2,7,28.6,2-2,2,2,100,1,3,0,2,1,3,10,12/12/2020
